country,stateprov,county,determination,release_date,status_season
USA,Wyoming,Laramie,WNS Positive,08/02/2024,2022-23
USA,Wyoming,Albany,WNS Positive,08/02/2024,2022-23
USA,Wyoming,Washakie,Pd Positive,08/02/2024,2023-24
USA,Nebraska,Lancaster,Pd Positive,6/7/17,2016-17
USA,Nebraska,Dixon,Pd Positive,6/7/17,2016-17
USA,Nebraska,Cass,WNS Positive,3/15/17,2016-17
USA,Nebraska,Sarpy,WNS Suspect,3/15/17,2016-17
USA,Mississippi,Wayne,Pd Positive,4/24/17,2016-17
USA,Mississippi,Union,Pd Positive,3/22/17,2016-17
USA,Missouri,Newton,WNS Suspect,4/2/18,2017-18
USA,South Dakota,Jackson,Pd Positive,5/31/18,2017-18
USA,Washington,Kittitas,WNS Positive,9/4/19,2018-19
USA,Kansas,Cherokee,WNS Positive,4/2/18,2017-18
USA,Kansas,Comanche,WNS Suspect,5/30/18,2017-18
USA,Kansas,Barber,WNS Positive,4/2/18,2017-18
USA,Kansas,Kiowa,WNS Positive,5/30/18,2017-18
USA,Kansas,Pratt,WNS Positive,5/30/18,2017-18
USA,South Dakota,Custer,WNS Positive,7/2/18,2017-18
USA,Texas,Uvalde,WNS Positive,05/20/2020,2019-20
USA,Texas,Guadalupe,WNS Positive,05/20/2020,2019-20
USA,Texas,Comal,WNS Positive,05/20/2020,2019-20
USA,Texas,Kerr,WNS Positive,05/20/2020,2019-20
USA,Texas,Hays,WNS Positive,05/20/2020,2019-20
USA,Texas,Travis,WNS Positive,05/20/2020,2019-20
USA,Texas,Terrell,Pd Positive,05/14/2021,2020-21
USA,Texas,Sutton,WNS Positive,05/20/2020,2019-20
USA,Texas,Kimble,WNS Positive,05/20/2020,2019-20
USA,Texas,Williamson,WNS Positive,05/20/2020,2019-20
USA,Texas,Llano,WNS Positive,05/20/2020,2019-20
USA,Texas,Mason,WNS Positive,05/20/2020,2019-20
USA,Texas,Burnet,WNS Positive,05/20/2020,2019-20
USA,Texas,Bell,WNS Positive,05/20/2020,2019-20
USA,Texas,Lampasas,WNS Positive,05/20/2020,2019-20
USA,Texas,McCulloch,WNS Positive,06/02/2020,2019-20
USA,Texas,Freestone,Pd Positive,05/14/2021,2018-19
USA,Texas,Cottle,WNS Positive,05/14/2021,2020-21
USA,Texas,Hardeman,WNS Positive,05/14/2021,2020-21
USA,Texas,Frio,Pd Positive,5/7/19,2018-19
USA,Texas,Victoria,Pd Positive,5/7/19,2018-19
USA,Texas,Bexar,Pd Positive,5/7/19,2018-19
USA,Texas,Kendall,Pd Presumed,4/5/18,2017-18
USA,Texas,Val Verde,Pd Positive,5/7/19,2018-19
USA,Texas,Liberty,Pd Positive,5/7/19,2018-19
USA,Texas,Blanco,Pd Presumed,4/5/18,2017-18
USA,Texas,San Saba,Pd Positive,5/7/19,2018-19
USA,Texas,Foard,Pd Presumed,4/5/18,2017-18
USA,Texas,Wheeler,Pd Presumed,4/5/18,2017-18
USA,Texas,Scurry,Pd Positive,3/22/17,2016-17
USA,Texas,King,Pd Positive,3/22/17,2016-17
USA,Texas,Childress,Pd Positive,3/22/17,2016-17
USA,Texas,Collingsworth,Pd Positive,3/22/17,2016-17
USA,Texas,Bandera,WNS Positive,05/15/2020,2019-20
USA,Texas,Bastrop,WNS Positive,05/19/2020,2019-20
USA,Texas,Gillespie,WNS Positive,03/05/2020,2019-20
USA,North Dakota,Billings,WNS Positive,05/20/2020,2019-20
CAN,Alberta,Camrose county,Pd Positive,07/02/2024,2023-24
CAN,Alberta,Cyprus county,Pd Positive,07/02/2024,2023-24
CAN,Alberta,Strathcona county,Pd Positive,07/02/2024,2023-24
CAN,Alberta,Kneehill county,Pd Positive,07/02/2024,2023-24
CAN,Saskatchewan,Meadow Lake,Pd Positive,07/02/2024,2023-24
CAN,Alberta,Forty Mile,Pd Positive,07/13/2023,2022-23
CAN,Saskatchewan,White Valley,Pd Positive,07/06/2023,2021-22
CAN,British Columbia,Kootenay boundary,Pd Positive,07/06/2023,2021-22
CAN,Alberta,Newell,WNS Positive,08/08/2024,2023-24
CAN,Alberta,Special Area No. 2,WNS Positive,08/08/2024,2023-24
CAN,Saskatchewan,Happyland,Pd Positive,01/13/2023,2021-22
CAN,Saskatchewan,Chesterfield,Pd Positive,01/13/2023,2021-22
CAN,Saskatchewan,Grasslands National Park East,WNS Positive,08/08/2022,2021-22
CAN,Quebec,La Mitis,Pd Positive,12/22/2021,2013-14
CAN,Newfoundland and Labrador,Division No.  6,Pd Positive,12/22/2021,2018-19
CAN,Newfoundland and Labrador,District 19a,Pd Positive,12/22/2021,2018-19
CAN,Newfoundland and Labrador,District 19a,Pd Positive,12/22/2021,2018-19
CAN,Newfoundland and Labrador,District 19b,Pd Positive,12/22/2021,2017-18
CAN,Saskatchewan,Enniskillen,Pd Positive,12/22/2021,2020-21
CAN,Quebec,Monticules du Lac De Morbihan,Pd Positive,12/22/2021,2017-18
CAN,Saskatchewan,Keys,Pd Positive,12/22/2021,2020-21
CAN,Saskatchewan,Hudson Bay,Pd Positive,12/22/2021,2020-21
CAN,Quebec,Papineau,Pd Positive,12/22/2021,2015-16
CAN,Saskatchewan,Grasslands National Park west,Pd Positive,12/22/2021,2020-21
CAN,Saskatchewan,Val Marie,Pd Positive,12/22/2021,2020-21
CAN,Quebec,La Vallée-de-la-Gatineau,Pd Positive,12/22/2021,2014-15
CAN,Quebec,Buttons du Lac Némiscau,Pd Positive,12/22/2021,2017-18
CAN,Saskatchewan,Moose Range,Pd Positive,12/22/2021,2020-21
CAN,Newfoundland and Labrador,District 19b,Pd Positive,12/22/2021,2020-21
CAN,Saskatchewan,Arborfield,Pd Positive,12/22/2021,2020-21
CAN,Manitoba,Division No. 21,WNS Positive,07/08/2021,2020-21
CAN,New Brunswick,York County,WNS Positive,03/24/2021,2013-14
CAN,New Brunswick,Queens County,WNS Positive,03/24/2021,2013-14
CAN,Ontario,Wellington County,WNS Positive,03/24/2021,2011-12
CAN,Ontario,Atikokan,WNS Positive,03/24/2021,2014-15
CAN,Ontario,Beardmore,WNS Positive,03/24/2021,2014-15
CAN,Newfoundland,Census Div. 4/St George's,WNS Positive,03/24/2021,2016-17
CAN,Nova Scotia,Cape Breton County,WNS Positive,03/24/2021,2013-14
CAN,Nova Scotia,Digby County,WNS Positive,03/24/2021,2013-14
CAN,Nova Scotia,Kings County,WNS Positive,03/24/2021,2010-11
CAN,Nova Scotia,Hants County,WNS Positive,03/24/2021,2010-11
CAN,New Brunswick,Victoria County,WNS Positive,03/24/2021,2013-14
CAN,Nova Scotia,Halifax County,WNS Positive,03/24/2021,2010-11
CAN,New Brunswick,Albert County,WNS Positive,03/24/2021,2010-11
CAN,New Brunswick,Kings County,WNS Positive,03/24/2021,2011-12
CAN,Nova Scotia,Colchester County,WNS Positive,03/24/2021,2011-12
CAN,Ontario,Beardmore,WNS Suspect,03/24/2021,2014-15
CAN,Nova Scotia,Annapolis County,WNS Positive,03/24/2021,2012-13
CAN,Quebec,Sault Ste Marie,WNS Suspect,03/24/2021,2015-16
CAN,Nova Scotia,Antigonish County,WNS Positive,03/24/2021,2012-13
CAN,Ontario,Timmins,WNS Positive,03/24/2021,2010-11
CAN,Quebec,Anticosti,WNS Positive,03/24/2021,2019-20
CAN,Quebec,Le Domaine-du-Roy,WNS Positive,03/24/2021,2011-12
CAN,Manitoba,Division No. 17,WNS Positive,03/24/2021,2018-19
CAN,Nova Scotia,Guysborough County,WNS Positive,03/24/2021,2012-13
CAN,Prince Edward,Kings County,WNS Positive,03/24/2021,2012-13
CAN,Prince Edward,Prince County,WNS Positive,01/01/2015,2012-13
CAN,New Brunswick,Carleton County,WNS Positive,03/25/2021,2017-18
CAN,Quebec,Mekinac-Saint-Tite,WNS Positive,03/24/2021,2010-11
CAN,Quebec,Levis,WNS Positive,03/24/2021,2011-12
CAN,Quebec,Antoine-Labelle,WNS Positive,03/24/2021,2014-15
CAN,New Brunswick,Northumberland County,WNS Positive,03/24/2021,2012-13
CAN,New Brunswick,Charlotte County,WNS Positive,03/24/2021,2011-12
CAN,Quebec,Le Haut-Saint-François,WNS Suspect,03/24/2021,2011-12
CAN,Quebec,La Cote de Beaupre,WNS Suspect,03/24/2021,2010-11
CAN,Quebec,Le Haut-Saint-Laurent,WNS Suspect,03/24/2021,2013-14
CAN,New Brunswick,Restigouche,WNS Positive,03/24/2021,2014-15
CAN,Manitoba,District 19/Sturgeon Bay,WNS Positive,03/24/2021,2017-18
CAN,Quebec,Le Granit,WNS Positive,03/24/2021,2010-11
CAN,New Brunswick,Madawaska County,WNS Positive,03/24/2021,2012-13
CAN,Quebec,Memphrémagog,WNS Positive,03/24/2021,2009-10
CAN,Quebec,Lotbinière,WNS Positive,03/24/2021,2011-12
CAN,Ontario,Bruce County,WNS Positive,03/24/2021,2010-11
CAN,Ontario,Haldimand-Norfolk Rgnl Municipal,WNS Positive,03/24/2021,2011-12
CAN,Ontario,Niagara Regional Municipality,WNS Positive,03/24/2021,2011-12
CAN,Quebec,Les Collines-De-L'Outaouais,WNS Positive,03/24/2021,2009-10
CAN,Ontario,Renfrew County,WNS Positive,03/24/2021,2009-10
CAN,Ontario,Peterborough County,WNS Positive,03/24/2021,2009-10
CAN,Quebec,La Jacques-Cartier (Part 1 Of),WNS Positive,03/24/2021,2011-12
CAN,Ontario,Hastings County,WNS Positive,03/24/2021,2009-10
CAN,Ontario,Grey County,WNS Positive,03/24/2021,2009-10
CAN,Quebec,Desjardins,WNS Positive,03/24/2021,2011-12
CAN,Quebec,L'Érable,WNS Positive,03/24/2021,2010-11
CAN,Ontario,Dufferin County,WNS Positive,03/24/2021,2010-11
CAN,Ontario,Haliburton County,WNS Positive,03/24/2021,2010-11
CAN,Ontario,Halton Regional Municipality,WNS Positive,03/24/2021,2010-11
CAN,Ontario,Peel Regional Municipality,WNS Positive,03/24/2021,2010-11
CAN,Quebec,Les Laurentides,WNS Positive,03/24/2021,2010-11
CAN,Ontario,Sudbury District (Part 1 Of),WNS Positive,03/24/2021,2012-13
CAN,Ontario,Algoma District (Part 4 of),WNS Suspect,03/24/2021,2014-15
CAN,Ontario,Thunder Bay District (Part 1 Of),WNS Positive,03/24/2021,2013-14
CAN,Ontario,Algoma Dist. (Part 3 Of),WNS Positive,03/24/2021,2013-14
CAN,Ontario,Timiskaming District,WNS Positive,03/24/2021,2009-10
CAN,Ontario,Kenora District,WNS Positive,03/24/2021,2016-17
CAN,Quebec,La Côte-De-Gaspé,WNS Positive,03/24/2021,2014-15
